area_id,area_name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
115011557,Castle Hill - West,95.7,144.8,108.2,104.7,63.1,89.2,39.1,66.9,55.1,70.3,88.6,81.9,987.5
124031458,Castlereagh - Cranebrook,105.9,116.5,90.2,66.1,54.3,63.9,33.9,43.1,39.1,60.4,78.1,70.2,835
127031522,Casula,90.7,119.8,105.9,90.9,83.8,105.6,60,70.4,47.5,68.2,75,71.5,1009
127011593,Cecil Hills,74.1,105.9,98.8,53.7,39,76,32,31.5,33.7,54,66.2,66,699.7
118011342,Centennial Park,104.3,115.1,133.2,127.7,121.3,130.1,103.9,86.2,70.9,82.5,85.6,82.9,1254.7
106011109,Cessnock Region,79.2,88,77.6,66.3,58.6,59.9,44.7,40.3,42.4,55.4,59.3,76.1,740
121011398,Chatswood (East) - Artarmon,98.7,164.6,140.7,92.8,93.8,128,76.1,77.5,51.2,88.4,100.9,78.4,1198.2
121011399,Chatswood (West) - Lane Cove North,98.7,164.6,140.7,92.8,93.8,128,76.1,77.5,51.2,88.4,100.9,78.4,1198.2
115011558,Cherrybrook,105.5,134.3,125.6,95.5,71.7,107.7,48.9,61.3,52.1,69.9,92.4,75.3,1078.5
125031479,Chester Hill - Sefton,87.9,94.5,97,88.4,81.9,86.6,66.3,56.8,49.9,62.5,70.4,71.7,910
127031523,Chipping Norton - Moorebank,92,107,105.1,80.9,63.6,79.6,44.3,49.6,44.4,60.3,74.9,67.2,866.4
102021047,Chittaway Bay - Tumbi Umbi,99.1,135.2,120.8,142.1,86.6,116.6,52.2,44.6,50.4,56.5,90.1,76.7,1098.5
119011355,Chullora,88.9,108.8,105.3,92,74.2,97.5,48.7,61.7,45.3,64.6,82.6,67.2,944.5
123021438,Claymore - Eagle Vale - Raby,80.8,86.5,96.2,54.2,35.4,91.4,28,41,33,45.7,63.5,58.1,692
127011506,Cobbitty - Leppington,79.6,101.3,94.9,64.1,52,65.3,35.8,41.1,38.4,61.5,74.3,57.1,789.8
124051580,Colyton - Oxley Park,79.2,100,62.2,63,52.3,53.6,29,52.1,31.5,42.1,72.1,67.1,690.9
120011383,Concord - Mortlake - Cabarita,103.2,126.5,130.5,103.3,93.9,121.6,66.5,71.9,60.7,75.2,87.2,77.2,1127.9
120011384,Concord West - North Strathfield,115,140.1,173.6,83.2,36,142,36.4,68,46.4,61.5,80,79.2,1101.6
119011356,Condell Park,92,107,105.1,80.9,63.6,79.6,44.3,49.6,44.4,60.3,74.9,67.2,866.4
118021348,Coogee - Clovelly,100.2,114.5,136.2,115.5,115.9,138.4,95.5,86.8,66,75.5,82.6,76.1,1201.2
121041413,Cremorne - Cammeray,111.5,116.8,133.5,130.5,128.1,127.7,101,91.1,67.3,81.4,89.2,87.7,1265.1
122031425,Cromer,110.5,132.4,135.9,118,122.4,135.4,79.5,88.6,65.4,77.4,89.6,81.8,1261.3
128011604,Cronulla - Kurnell - Bundeena,97.5,118,130.2,118.7,120.1,145,86.1,89.9,61.3,75.9,89.7,75.7,1222.9
121041414,Crows Nest - Waverton,98.7,164.6,140.7,92.8,93.8,128,76.1,77.5,51.2,88.4,100.9,78.4,1198.2
120031393,Croydon Park - Enfield,94,105.3,115.2,106.4,98,105.3,83.5,67.1,55.9,70.4,73.6,78,1069.8
117031329,Darlinghurst,104.3,115.1,133.2,127.7,121.3,130.1,103.9,86.2,70.9,82.5,85.6,82.9,1254.7
122031426,Dee Why - North Curl Curl,110.5,132.4,135.9,118,122.4,135.4,79.5,88.6,65.4,77.4,89.6,81.8,1261.3
116011306,Doonside - Woodcroft,101.7,94.8,96.8,77.3,56.9,77.6,36.7,49.9,39.9,67.8,84.7,69.8,859.1
118011343,Double Bay - Bellevue Hill,102.4,115.6,138.1,120,119.5,135.9,97.2,85.3,68,75.6,85.2,81.8,1228.8
123031446,Douglas Park - Appin,68.1,89.2,89.5,60.1,55,69.1,40.1,43.7,40.5,54.6,72.5,56.6,736.8
118011344,Dover Heights,91,149.5,170.9,124.4,82.2,205.6,98.2,72.6,58.3,61.2,92.2,77.2,1350.3
120011385,Drummoyne - Rodd Point,88.3,120,132.1,94.9,46.9,158.2,71.9,50.9,61.6,77.1,83,80.7,1097
120031394,Dulwich Hill - Lewisham,80,104.9,111.1,102.4,93.2,111.1,80.2,65.7,55.5,63.3,68.2,73.6,1007.7
115021297,Dural - Kenthurst - Wisemans Ferry,105.5,134.3,125.6,95.5,71.7,107.7,48.9,61.3,52.1,69.9,92.4,75.3,1078.5
126021497,Eastwood - Denistone,114.4,130.7,135.2,86.7,89.2,90.9,55.6,75.2,52.3,84.5,100.3,83.4,1117.7
127021514,Edensor Park,74.1,105.9,98.8,53.7,39,76,32,31.5,33.7,54,66.2,66,699.7
123011434,Elderslie - Harrington Park,79.6,101.3,94.9,64.1,52,65.3,35.8,41.1,38.4,61.5,74.3,57.1,789.8
124031459,Emu Plains - Leonay,92.3,122.1,92,46.7,35.9,48.8,30.6,29.8,32.4,56,79.8,63.1,721.6
128021607,Engadine,87.8,122.2,122,117.7,102.5,120.2,64.9,68.2,55.3,68.2,91.4,76,1096.9
126011495,Epping - North Epping,86.7,157.4,89,104.7,74.1,88.2,54,77.5,56,63,96.9,80,1064.9
102011031,Erina - Green Point,117.6,144,160.2,118.5,75.2,138.9,67.2,49.4,64.5,103.2,105.1,89.4,1222.4
125021477,Ermington - Rydalmere,115,140.1,173.6,83.2,36,142,36.4,68,46.4,61.5,80,79.2,1101.6
124051469,Erskine Park,79.2,100,62.2,63,52.3,53.6,29,52.1,31.5,42.1,72.1,67.1,690.9
117031330,Erskineville - Alexandria,115.7,132,150.4,122.9,124.2,161.6,84.4,91.7,66.8,82.5,97.9,79.9,1315.1
127021515,Fairfield,103.6,132.8,115,89.1,77.3,78.2,47.3,51.8,53.2,71.6,97.2,76.6,997.1
125031480,Fairfield - East,74.1,105.9,98.8,53.7,39,76,32,31.5,33.7,54,66.2,66,699.7
127021516,Fairfield - West,94.8,99.2,100.6,75.1,68.9,76.7,56.3,50.4,46.4,59.2,72.4,75.8,876.8
120011386,Five Dock - Abbotsford,103.3,115,120.8,100.6,94.3,113.6,65.3,73.2,56,73.1,84,76.2,1086.2
122031427,Forestville - Killarney Heights,94.8,99.2,100.6,75.1,68.9,76.7,56.3,50.4,46.4,59.2,72.4,75.8,876.8
